gene	Ot-F6-AH	Ot-F6-E	Ot-F6-G	Ot-F6-L	Ot-F6-PH	Ot-F7-AH	Ot-F7-E	Ot-F7-G	Ot-F7-L	Ot-F7-PH	Ot-F8-AH	Ot-F8-E	Ot-F8-G	Ot-F8-L	Ot-F8-PH	Ot-F9-AH	Ot-F9-E	Ot-F9-G	Ot-F9-L	Ot-F9-PH	Ot-F10-AH	Ot-F10-E	Ot-F10-G	Ot-F10-L	Ot-F10-PH	Ot-F11-AH	Ot-F11-G	Ot-F11-L	Ot-F11-PH	Ot-M2-AH	Ot-M2-E	Ot-M2-G	Ot-M2-L	Ot-M2-PH	Ot-M4-AH	Ot-M4-E	Ot-M4-G	Ot-M4-L	Ot-M4-PH	Ot-M7-AH	Ot-M7-E	Ot-M7-G	Ot-M7-L	Ot-M7-PH	Ot-M9-AH	Ot-M9-E	Ot-M9-G	Ot-M9-L	Ot-M9-PH	Ot-M11-AH	Ot-M11-E	Ot-M11-G	Ot-M11-L	Ot-M11-PH	Ot-M12-AH	Ot-M12-E	Ot-M12-G	Ot-M12-L	Ot-M12-PH
jg7433.t1	137.170633894386	68.7964535906519	158.609086956846	201.662262216314	171.975262023829	285.207736038824	222.567340841084	232.911491582785	338.968464723235	169.609000685876	115.515689129141	50.8355136382642	137.527410115328	176.236456269705	98.8027556450188	174.284419295598	263.0322713656	213.465260467648	300.933439610446	182.452898800427	280.625831646052	279.685767644349	214.343539630009	274.851193938157	166.723563620872	235.368029106806	222.890749078202	172.054494860111	248.67091445273	75.4495049201898	158.304464880063	116.74927956437	185.700119726708	91.0030440896852	142.433834594241	239.961806325438	199.149346020801	214.630273525908	153.089990032953	149.260824844269	173.125948122654	196.31779619314	222.031275107178	82.6078848961726	277.705122327098	136.459601766053	279.565597670034	205.171433441984	131.645603103166	139.727505649975	115.44215868831	202.382228322505	184.257451830364	114.027123038546	149.334560700027	129.517323729168	198.269628029634	262.33053736126	136.660443124138
jg7182.t1	78.0189562375159	89.5244221544957	160.586022373144	160.5120906328	118.851381312442	90.9646060276187	136.838381297512	375.508062877241	115.167004674207	66.4709221525857	67.206157550629	104.933736208838	253.609945459053	117.942624625284	69.4348446447602	104.951754017172	159.818490020694	819.042580735502	183.46779013565	91.5954069942948	199.018640997233	197.610623988981	171.644306294944	211.075022213425	318.985676559085	182.904990925601	190.352456512184	228.484124495694	130.945878475592	13.061019574445	60.168234479794	160.709940203268	164.952914708556	46.8832208903282	161.367975036648	217.630879600494	283.82155776481	168.830561010528	142.889138019477	78.3549320807971	117.831419676212	221.952153241544	137.139310674788	33.023510143321	85.195531635212	61.6318156170152	314.770308467164	151.105171846846	55.7317925507274	25.7771340559238	82.8180232400996	135.358117628815	118.138038531206	44.1180814677643	95.83547542341	115.199458291117	278.521710661966	125.007136375617	100.991349619878
jg6189.t1	4.95809968915497	0.995074603158793	19.9675728708174	0	6.85758349206615	1.98247409369268	0	5.99149538577624	0	3.97064329003086	3.00481892731661	0.991981582285403	1.99390734474016	0	0	0	1.01387348794843	2.96270545699456	0	0.973606739657976	0	0	0	0	0.995805903506331	0	0	0	0	0	0	3.00844623914767	0	0	0	0	4.01585824872684	0	0	0	0	1.00334932664362	0	1.00943623478459	0	0	11.0826175265082	0	6.09631933335318	0	2.0130367206313	3.00951820891848	0	0.994364910587008	1.01530760624533	0	6.98065136381827	0	1.01676826943366
jg6097.t1	20.3584489579737	0	83.7011828791664	11.0707592490693	248.376849441965	20.3368904256609	0	100.055623161093	17.6093304961721	15.227288788514	0	0	108.515472993729	9.14706955052718	40.4312728326146	14.015872485369	3.55360201214467	77.8029367099703	5.45804318965167	1.08126585332606	2.95386574875865	24.3805637341351	0	3.9173524310519	78.864528652762	1.01635334526937	4.31128159068725	0	4.10658650870681	0	0	17.7307453453806	3.5104503300314	0	0	0	34.4556753739197	1.04311420390885	3.9811125191911	11.0351402246223	2.79369964463987	54.6487159743387	26.568102212745	17.1265920481518	11.6000955078275	0	73.1587825789319	5.44883556056868	3.52879259871759	13.0781485049752	0	55.8644621090324	16.5131535774246	18.8004249626842	6.34036183790812	0	78.130179750242	16.5551854597599	12.2382839297098
jg7088.t1	0	0	4.01140812222835	0	0	0	0	0	0	0.997349291546258	0	0	1.00465382433354	0	0	0	0.999644826197939	2.01944567688875	0	0	0	0	0	0	2.00914129136425	0	2.01247945510043	0	0	0	0	0	0	0	0	0	0.994438923071843	0.997090154391293	0	0	0	0	0	0	0.998809508969276	0	0	0	0	0	0.99808043963591	0	0	1.99774387739136	0	0	1.00006794188411	0	0
jg5856.t1	0	0	4.00440015370612	2.99241678509136	1.98943446030338	0	1.9946369107463	0	0	1.9906390328319	1.00034685814596	0.997536853963708	5.00734015670491	0	1.99636301893108	0	0	2.00039690379908	2.00796832442934	0	0	0	0	4.96897988877349	4.00359200822061	2.00943053345648	0	0	0	0	0	3.18363711742347	0	0	0	1.00678117771436	0	0	0	2.0083820210679	2.01568288627758	2.9973973361631	0	0	0	0	9.99658544705589	3.00584445770387	0	0	1.00163387196	0	0	0	3.01164197430339	0	0	2.99335763829743	0
jg5856.t2	1.0019520233721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998985122625514	0	0	0	3.00782613353452	1.02947190578292	0	0.997520300764066	0	0	0	1.01051653372897	0	2.97979251755382	0	0	0	0.992342911524644	0	0	0	0	0	2.01024924888037	0	0	0	0	0	0	2.00229301682111	0	0	0.993811690992952	0.996266976489686	0	0	0	1.9996441529892	0	0	5.00297859549775	0	0
jg5422.t1	0	0	1.7866193611053	0	1.31362230645783	2.70670597221217	2.57640814513399	2.7587510527425	2.74063223737686	2.74879215552013	1.27505380296842	0	0	1.28984080991952	0	1.14363529442075	0	11.9102224748607	1.34483275583102	2.6471766234625	0	6.75757114971247	1.92717440062507	4.25784192143068	0	1.4793822891002	2.45026086938146	6.47571842730958	4.82637777078044	0	8.78917749116353	0	1.35986019815613	3.78801044687858	0	2.18379814770173	0	3.14545672823245	0.994076833027999	1.16973932411035	0	0.997733097720819	0	1.92329174927173	2.96399025605832	0	4.31613588436112	0	2.98761848129328	5.83534083098987	1.96378238149837	7.51640230064183	0	2.42977553303128	0	0	0	5.93995440519313	0
jg6493.t1	0	0	0	0	1.05456536322903	1.01935474623652	2.02750577627601	0	0	2.02369897184567	0	0	0	1.13779302616024	0	0	0	0	0	1.05370528198926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.952497229656796	0	0	0	0	0	0	0	0	0	0.985442118867586	0	0	0	0	0	0	0	0
jg5604.t1	312.278898703316	4.98519509426796	28.9935111079773	90.441340311948	6.90911183063032	625.491788874611	3.98075890283719	117755.629669804	83.3643864799465	12.9214174828167	284.726693024646	0	17.9860454099664	25.3517556680559	81.6624006676406	114.551953893154	3.02954027440078	27.8977674196786	64.4536322176577	54.8962130219639	101.561870633751	98.888458986782	0	926.402047024971	1303.76087579074	337.079995247045	16.8135630054556	0.997814086154367	8.1458835033409	386.314004955619	0	3.00367003589292	90.5644619758239	118.30827900857	666.701881393835	6.07287953396076	30.1656064877495	97.3739579152395	1316.55259519704	960.705171851876	2.03023950750412	7.00955286566807	82.9987808520314	534.13252905481	2730.47560757938	4.93049904111271	17.0558332901461	204.262050661331	793.366156199015	967.428415548509	5.02047133122698	52.0547492823202	92.3916170569306	1184.84096219035	3154.99357008927	0.999221962920213	12.9747945004159	67.7110387531839	220.073226357871
